============================= test session starts ==============================
platform darwin -- Python 3.12.11, pytest-9.1.1, pluggy-1.6.0 -- /Users/chiru/conductor/workspaces/chiru-os/provo/tmp/arcnet/.venv/bin/python
rootdir: /Users/chiru/conductor/workspaces/chiru-os/provo/tmp/arcnet/server
configfile: pyproject.toml
plugins: anyio-4.14.2, jaxtyping-0.2.38, typeguard-2.13.3
collecting ... collected 219 items

server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_case_files_twin PASSED [  0%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_fleet_health_twin PASSED [  0%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_hitl_twins PASSED [  1%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_home_twin PASSED [  1%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_hq_agent_twin PASSED [  2%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_session_cross_links PASSED [  2%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_signals_fleet_scope PASSED [  3%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_sources_trust_alias PASSED [  3%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_structured_404_with_hint PASSED [  4%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_structured_409_duplicate_version PASSED [  4%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_threats_twins PASSED [  5%]
server/tests/test_agent_twins_p8b.py::AgentTwinP8BTests::test_time_machine_session_and_replay PASSED [  5%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_apply_model_agent_404_structured PASSED [  5%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_export_case_file_http PASSED [  6%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_griffin_evaluate PASSED [  6%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_health PASSED [  7%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_hitl_decide_404_structured PASSED [  7%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_list_pagination_headers PASSED [  8%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_model_intel_404_structured PASSED [  8%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_replay_agent_view_route PASSED [  9%]
server/tests/test_api_coherence.py::ApiCoherenceTests::test_signals_stream_reconnect_contract PASSED [  9%]
